case_id	level	T	parent	alpha	facet	S3_or_X	orders	relations	intersection_condition	ip_defect	fvector	directly_regular	faithful	skeletal_polytope	geometrically_chiral	combinatorially_chiral	abstract_class	same_polytope_as	classification	note
C11	1 canonical	{3,3,3}	W(T)	0	H_0({3,3,3})	R3R2 (canonical)	[ 5, 3, 3 ]	true	false	4	-	-	-	-	-	-			PROVED-OBSTRUCTION-CANONICAL	intersection condition fails: |<S1,S2> cap <S2,S3> : <S2>| = 4 = vertex-collapse multiplicity of H_0({3,3,3}) (table: 4)
C12	1 canonical	{3,3,3}*	W(T)	0	H_0({3,3,3}*)	R3R2 (canonical)	[ 5, 3, 3 ]	true	false	4	-	-	-	-	-	-			PROVED-OBSTRUCTION-CANONICAL	intersection condition fails: |<S1,S2> cap <S2,S3> : <S2>| = 4 = vertex-collapse multiplicity of H_0({3,3,3}*) (table: 4); self-dual T, same as the alpha=0 endpoint
C21	1 canonical	{4,3,3}	W(T)	0	H_0({4,3,3})	R3R2 (canonical)	[ 8, 3, 3 ]	true	true	1	[ 16, 32, 12, 4 ]	false	true	true	true	true	1		KNOWN-CONSTRUCTION	KNOWN: Roli's cube, Bracho-Hubard-Pellicer 2014
C22	1 canonical	{3,3,4}	W(T)	0	H_0({3,3,4})	R3R2 (canonical)	[ 8, 3, 4 ]	true	false	2	-	-	-	-	-	-			PROVED-OBSTRUCTION-CANONICAL	intersection condition fails: |<S1,S2> cap <S2,S3> : <S2>| = 2 = vertex-collapse multiplicity of H_0({3,3,4}) (table: 2)
C31	1 canonical	{3,4,3}	W(T)	0	H_0({3,4,3})	R3R2 (canonical)	[ 12, 4, 3 ]	true	false	2	-	-	-	-	-	-			PROVED-OBSTRUCTION-CANONICAL	intersection condition fails: |<S1,S2> cap <S2,S3> : <S2>| = 2 = vertex-collapse multiplicity of H_0({3,4,3}) (table: 2)
C32	1 canonical	{3,4,3}*	W(T)	0	H_0({3,4,3}*)	R3R2 (canonical)	[ 12, 4, 3 ]	true	false	2	-	-	-	-	-	-			PROVED-OBSTRUCTION-CANONICAL	intersection condition fails: |<S1,S2> cap <S2,S3> : <S2>| = 2 = vertex-collapse multiplicity of H_0({3,4,3}*) (table: 2); self-dual T, same as the alpha=0 endpoint
C41	1 canonical	{5,3,3}	W(T)	0	H_0({5,3,3})	R3R2 (canonical)	[ 30, 3, 3 ]	true	true	1	[ 600, 1200, 120, 5 ]	false	true	true	true	true	2		PROVED-CONSTRUCTION	new candidate from the canonical extension; see RESULT.md for novelty status
C42	1 canonical	{3,3,5}	W(T)	0	H_0({3,3,5})	R3R2 (canonical)	[ 30, 3, 5 ]	true	false	4	-	-	-	-	-	-			PROVED-OBSTRUCTION-CANONICAL	intersection condition fails: |<S1,S2> cap <S2,S3> : <S2>| = 4 = vertex-collapse multiplicity of H_0({3,3,5}) (table: 4)
C51	1 canonical	{3,5,5/2}	W(T)	0	H_0({3,5,5/2})	R3R2 (canonical)	[ 20, 5, 5 ]	true	false	2	-	-	-	-	-	-			PROVED-OBSTRUCTION-CANONICAL	intersection condition fails: |<S1,S2> cap <S2,S3> : <S2>| = 2 = vertex-collapse multiplicity of H_0({3,5,5/2}) (table: 2)
C52	1 canonical	{5/2,5,3}	W(T)	0	H_0({5/2,5,3})	R3R2 (canonical)	[ 20, 5, 3 ]	true	false	2	-	-	-	-	-	-			PROVED-OBSTRUCTION-CANONICAL	intersection condition fails: |<S1,S2> cap <S2,S3> : <S2>| = 2 = vertex-collapse multiplicity of H_0({5/2,5,3}) (table: 2)
C61	1 canonical	{5,5/2,5}	W(T)	0	H_0({5,5/2,5})	R3R2 (canonical)	[ 15, 5, 5 ]	true	false	12	-	-	-	-	-	-			PROVED-OBSTRUCTION-CANONICAL	intersection condition fails: |<S1,S2> cap <S2,S3> : <S2>| = 12 = vertex-collapse multiplicity of H_0({5,5/2,5}) (table: 12)
C62	1 canonical	{5,5/2,5}*	W(T)	0	H_0({5,5/2,5}*)	R3R2 (canonical)	[ 15, 5, 5 ]	true	false	12	-	-	-	-	-	-			PROVED-OBSTRUCTION-CANONICAL	intersection condition fails: |<S1,S2> cap <S2,S3> : <S2>| = 12 = vertex-collapse multiplicity of H_0({5,5/2,5}*) (table: 12); self-dual T, same as the alpha=0 endpoint
C71	1 canonical	{5,3,5/2}	W(T)	0	H_0({5,3,5/2})	R3R2 (canonical)	[ 12, 3, 5 ]	true	true	1	[ 120, 720, 300, 50 ]	false	true	true	true	true	3		KNOWN-CONSTRUCTION	KNOWN: thesis polytope {12/(1,5),3,5/2}
C72	1 canonical	{5/2,3,5}	W(T)	0	H_0({5/2,3,5})	R3R2 (canonical)	[ 12, 3, 5 ]	true	true	1	[ 120, 720, 300, 50 ]	false	true	true	true	true	3		KNOWN-CONSTRUCTION	KNOWN: thesis polytope {12/(1,5),3,5}
C81	1 canonical	{3,3,5/2}	W(T)	0	H_0({3,3,5/2})	R3R2 (canonical)	[ 30, 3, 5 ]	true	false	4	-	-	-	-	-	-			PROVED-OBSTRUCTION-CANONICAL	intersection condition fails: |<S1,S2> cap <S2,S3> : <S2>| = 4 = vertex-collapse multiplicity of H_0({3,3,5/2}) (table: 4)
C82	1 canonical	{5/2,3,3}	W(T)	0	H_0({5/2,3,3})	R3R2 (canonical)	[ 30, 3, 3 ]	true	true	1	[ 600, 1200, 120, 5 ]	false	true	true	true	true	2		PROVED-CONSTRUCTION	new candidate from the canonical extension; see RESULT.md for novelty status
C91	1 canonical	{3,5/2,5}	W(T)	0	H_0({3,5/2,5})	R3R2 (canonical)	[ 20, 5, 5 ]	true	false	2	-	-	-	-	-	-			PROVED-OBSTRUCTION-CANONICAL	intersection condition fails: |<S1,S2> cap <S2,S3> : <S2>| = 2 = vertex-collapse multiplicity of H_0({3,5/2,5}) (table: 2)
C92	1 canonical	{5,5/2,3}	W(T)	0	H_0({5,5/2,3})	R3R2 (canonical)	[ 20, 5, 3 ]	true	false	2	-	-	-	-	-	-			PROVED-OBSTRUCTION-CANONICAL	intersection condition fails: |<S1,S2> cap <S2,S3> : <S2>| = 2 = vertex-collapse multiplicity of H_0({5,5/2,3}) (table: 2)
C101	1 canonical	{5/2,5,5/2}	W(T)	0	H_0({5/2,5,5/2})	R3R2 (canonical)	[ 15, 5, 5 ]	true	false	12	-	-	-	-	-	-			PROVED-OBSTRUCTION-CANONICAL	intersection condition fails: |<S1,S2> cap <S2,S3> : <S2>| = 12 = vertex-collapse multiplicity of H_0({5/2,5,5/2}) (table: 12)
C102	1 canonical	{5/2,5,5/2}*	W(T)	0	H_0({5/2,5,5/2}*)	R3R2 (canonical)	[ 15, 5, 5 ]	true	false	12	-	-	-	-	-	-			PROVED-OBSTRUCTION-CANONICAL	intersection condition fails: |<S1,S2> cap <S2,S3> : <S2>| = 12 = vertex-collapse multiplicity of H_0({5/2,5,5/2}*) (table: 12); self-dual T, same as the alpha=0 endpoint
P-W-{4,3,3}-1	2 parent search	{4,3,3}	W(T)	0	H_alpha({4,3,3})	word R3^-1*R2^-1	[ 8, 3, 3 ]	true	true	1	[ 16, 32, 12, 4 ]	false	true	true	true	true	1	C-{4,3,3}	DUPLICATE	identical geometric polytope to C-{4,3,3}; this is the canonical S3 = R3 R2 (alpha = 0)
