case_id	T	m_target	k	t	alpha	alpha_numeric	X_order	vertex_figure_group	relations	intersection_condition	ip_defect	fvector	directly_regular	faithful	skeletal_polytope	geometrically_chiral	classification	note
L3-{3,3,3}-1	{3,3,3}	3	1	0	1	-	3	12	true	false	4	-	-	-	-	-	PROVED-OBSTRUCTION-IN-PARENT	intersection condition fails, defect 4
L3-{3,3,3}-2	{3,3,3}	3	1	1/2*E(5)+1/4*E(5)^2+1/4*E(5)^3+1/2*E(5)^4	-E(5)^2-E(5)^3	-	3	12	true	true	1	[ 600, 1200, 720, 120 ]	true	false	false	false	PROVED-OBSTRUCTION-IN-PARENT	abstract polytope exists but the realisation is not faithful
L3-{3,3,3}-3	{3,3,3}	3	1	1/4*E(5)+1/2*E(5)^2+1/2*E(5)^3+1/4*E(5)^4	-E(5)-E(5)^4	-	3	12	true	true	1	[ 600, 1200, 720, 120 ]	true	false	false	false	PROVED-OBSTRUCTION-IN-PARENT	abstract polytope exists but the realisation is not faithful
L3-{3,3,3}-4	{3,3,3}	fail	fail	infinity	0	-	3	12	true	false	4	-	-	-	-	-	PROVED-OBSTRUCTION-IN-PARENT	intersection condition fails, defect 4
L3-{4,3,3}-1	{4,3,3}	3	1	1/2	1/2	-	3	12	true	true	1	[ 16, 32, 12, 4 ]	false	true	true	true	PROVED-CONSTRUCTION	faithful chiral skeletal 4-polytope
L3-{4,3,3}-2	{4,3,3}	3	1	-1/4	2	-	3	12	true	true	1	[ 16, 32, 12, 4 ]	false	true	true	true	PROVED-CONSTRUCTION	faithful chiral skeletal 4-polytope
L3-{4,3,3}-3	{4,3,3}	3	1	-1/2	infinity	-	3	12	true	true	1	[ 16, 32, 12, 4 ]	false	true	true	true	PROVED-CONSTRUCTION	faithful chiral skeletal 4-polytope
L3-{4,3,3}-4	{4,3,3}	4	1	0	1	-	4	24	true	false	2	-	-	-	-	-	PROVED-OBSTRUCTION-IN-PARENT	intersection condition fails, defect 2
L3-{4,3,3}-5	{4,3,3}	4	1	-1	-1	-	4	24	true	false	2	-	-	-	-	-	PROVED-OBSTRUCTION-IN-PARENT	intersection condition fails, defect 2
L3-{4,3,3}-6	{4,3,3}	fail	fail	infinity	0	-	3	12	true	true	1	[ 16, 32, 12, 4 ]	false	true	true	true	PROVED-CONSTRUCTION	faithful chiral skeletal 4-polytope
L3-{3,4,3}-1	{3,4,3}	3	1	0	1	-	3	24	true	false	2	-	-	-	-	-	PROVED-OBSTRUCTION-IN-PARENT	intersection condition fails, defect 2
L3-{3,4,3}-2	{3,4,3}	3	1	-1/2	2+E(8)-E(8)^3	-	3	24	true	false	2	-	-	-	-	-	PROVED-OBSTRUCTION-IN-PARENT	intersection condition fails, defect 2
L3-{3,4,3}-3	{3,4,3}	3	1	-1	-1-E(8)+E(8)^3	-	3	24	true	false	2	-	-	-	-	-	PROVED-OBSTRUCTION-IN-PARENT	intersection condition fails, defect 2
L3-{3,4,3}-4	{3,4,3}	fail	fail	infinity	0	-	3	24	true	false	2	-	-	-	-	-	PROVED-OBSTRUCTION-IN-PARENT	intersection condition fails, defect 2
L3-{5,3,3}-1	{5,3,3}	3	1	3/10*E(5)+7/10*E(5)^2+7/10*E(5)^3+3/10*E(5)^4	-4*E(40)^7+5*E(40)^8+4*E(40)^13+15*E(40)^16+11*E(40)^21-4*E(40)^23+15*E(40)^24+11*E(40)^29-11*E(40)^31+5*E(40)^32+4*E(40)^37-11*E(40)^39	-	3	12	true	true	1	[ 600, 1200, 120, 5 ]	false	false	false	false	PROVED-OBSTRUCTION-IN-PARENT	abstract polytope exists but the realisation is not faithful
L3-{5,3,3}-2	{5,3,3}	3	1	1/2*E(5)^2+1/2*E(5)^3	E(40)^7-E(40)^8-E(40)^13-3*E(40)^16-2*E(40)^21+E(40)^23-3*E(40)^24-2*E(40)^29+2*E(40)^31-E(40)^32-E(40)^37+2*E(40)^39	-	3	12	true	true	1	[ 600, 1200, 120, 5 ]	false	false	false	false	PROVED-OBSTRUCTION-IN-PARENT	abstract polytope exists but the realisation is not faithful
L3-{5,3,3}-3	{5,3,3}	3	1	-1/2*E(5)-3/2*E(5)^2-3/2*E(5)^3-1/2*E(5)^4	2*E(40)^7-3*E(40)^8-2*E(40)^13-E(40)^16-E(40)^21+2*E(40)^23-E(40)^24-E(40)^29+E(40)^31-3*E(40)^32-2*E(40)^37+E(40)^39	-	3	12	true	true	1	[ 600, 1200, 120, 5 ]	false	true	true	true	PROVED-CONSTRUCTION	faithful chiral skeletal 4-polytope
L3-{5,3,3}-4	{5,3,3}	5	1	0	1	-	5	60	true	false	4	-	-	-	-	-	PROVED-OBSTRUCTION-IN-PARENT	intersection condition fails, defect 4
L3-{5,3,3}-5	{5,3,3}	5	1	-1/2	-1/3*E(40)^8-E(40)^16-1/3*E(40)^21-E(40)^24-1/3*E(40)^29+1/3*E(40)^31-1/3*E(40)^32+1/3*E(40)^39	-	5	60	true	false	4	-	-	-	-	-	PROVED-OBSTRUCTION-IN-PARENT	intersection condition fails, defect 4
L3-{5,3,3}-6	{5,3,3}	5	1	1/2*E(5)+3/2*E(5)^2+3/2*E(5)^3+1/2*E(5)^4	-2*E(40)^7-3*E(40)^8+2*E(40)^13-E(40)^16+E(40)^21-2*E(40)^23-E(40)^24+E(40)^29-E(40)^31-3*E(40)^32+2*E(40)^37-E(40)^39	-	5	60	true	false	4	-	-	-	-	-	PROVED-OBSTRUCTION-IN-PARENT	intersection condition fails, defect 4
L3-{5,3,3}-7	{5,3,3}	5	1	1/2*E(5)+E(5)^2+E(5)^3+1/2*E(5)^4	-1-E(8)+E(8)^3	-	5	60	true	false	4	-	-	-	-	-	PROVED-OBSTRUCTION-IN-PARENT	intersection condition fails, defect 4
L3-{5,3,3}-8	{5,3,3}	fail	fail	infinity	0	-	3	12	true	true	1	[ 600, 1200, 120, 5 ]	false	true	true	true	PROVED-CONSTRUCTION	faithful chiral skeletal 4-polytope
