case_id	T	parent	parent_order	alpha	ab_coordinates	X_order	X_description	facet	orders	string_relations	intersection_condition	ip_defect	fvector	directly_regular	faithful	skeletal_polytope	geometrically_chiral	combinatorially_chiral	classification	note
P-W-{4,3,3}-1	{4,3,3}	W(T)	384	0	[ 1, 0 ]	3	word R3^-1*R2^-1	H_alpha({4,3,3})	[ 8, 3, 3 ]	true	true	1	[ 16, 32, 12, 4 ]	false	true	true	true	true	PROVED-CONSTRUCTION	this is the canonical S3 = R3 R2 (alpha = 0)
P-W-{4,3,3}-2	{4,3,3}	W(T)	384	infinity	[ -1/2, 1 ]	3	word R0^-1*R1^-1*R2^-1*R1^-1*R3^-1*R2^-1*R1^-1*R0^-1*R1^-1*R2^-1	H_alpha({4,3,3})	[ 8, 3, 3 ]	true	true	1	[ 16, 32, 12, 4 ]	false	true	true	true	true	PROVED-CONSTRUCTION	see comparison with the canonical candidates
P-W-{3,3,4}-1	{3,3,4}	W(T)	384	1	[ 0, 1 ]	3	word R1^-1*R0^-1	H_alpha({3,3,4})	[ 8, 3, 3 ]	true	true	1	[ 16, 32, 12, 4 ]	false	true	true	true	true	PROVED-CONSTRUCTION	see comparison with the canonical candidates
P-W-{3,3,4}-2	{3,3,4}	W(T)	384	infinity	[ -1/2, 1 ]	3	word R2^-1*R1*R2*R3*R2^-1*R1^-1*R0*R1*R2*R3	H_alpha({3,3,4})	[ 8, 3, 3 ]	true	true	1	[ 16, 32, 12, 4 ]	false	true	true	true	true	PROVED-CONSTRUCTION	see comparison with the canonical candidates
P-W-{5,3,3}-1	{5,3,3}	W(T)	14400	0	[ 1, 0 ]	3	word R3^-1*R2^-1	H_alpha({5,3,3})	[ 30, 3, 3 ]	true	true	1	[ 600, 1200, 120, 5 ]	false	true	true	true	true	PROVED-CONSTRUCTION	this is the canonical S3 = R3 R2 (alpha = 0)
P-W-{5,3,3}-2	{5,3,3}	W(T)	14400	E(40)^7-E(40)^8-E(40)^13-3*E(40)^16-2*E(40)^21+E(40)^23-3*E(40)^24-2*E(40)^29+2*E(40)^31-E(40)^32-E(40)^37+2*E(40)^39	[ 1/2*E(5)^2+1/2*E(5)^3, 1 ]	3	word R1^-1*R2^-1*(R0^-1*R1^-1)^2*R2^-1*R1^-1*R0^-1*R1^-1*R3^-1*R2^-1*R1^-1*R0^-1*R1^-1*R2^-1*(R0^-1*R1^-1)^2*R2^-1*R3^-1*R2^-1*(R1^-1*R0^-1)^2*R2^-1*R1^-1*R0^-1*R3^-1*R2^-1*R1^-1*R0^-1	H_alpha({5,3,3})	[ 30, 3, 3 ]	true	true	1	[ 600, 1200, 120, 5 ]	false	false	false	false	true	PROVED-OBSTRUCTION-IN-PARENT	abstract polytope exists but the Wythoff realisation at w is not a faithful skeletal 4-polytope
P-W-{3,3,5}-1	{3,3,5}	W(T)	14400	1	[ 0, 1 ]	3	word R1^-1*R0^-1	H_alpha({3,3,5})	[ 30, 3, 3 ]	true	true	1	[ 600, 1200, 120, 5 ]	false	true	true	true	true	PROVED-CONSTRUCTION	see comparison with the canonical candidates
P-W-{3,3,5}-2	{3,3,5}	W(T)	14400	-E(40)^7+E(40)^13+2*E(40)^16+2*E(40)^21-E(40)^23+2*E(40)^24+2*E(40)^29-2*E(40)^31+E(40)^37-2*E(40)^39	[ 1/4*E(5)+3/4*E(5)^2+3/4*E(5)^3+1/4*E(5)^4, 1 ]	3	word R0^-1*R1^-1*R3^-1*(R2^-1*R3^-1*R1^-1*R2^-1*R3^-1*R0^-1*R1^-1)^2*R2^-1*R3^-1*R2^-1*R1^-1*R3^-1*(R3^-1*R1^-1)^2*(R2^-1*R0^-1)^2*R0^-1*R3^-2*R1^-2*R3^-2*R0^-1*R1^-2*R2^-1*R1^-5*R3^-1*R2^-2*R0^-1*R1^-1*R2^-1*R0^-2*R2^-1*R3^-2*(R0^-2*R2^-1)^2*R0^-1*R2^-1*R1^-2*R3^-1*(R1^-1*R2^-1)^2*R2^-1*R3^-1*R0^-1*R1^-3*R0^-2*R2^-1*R0^-1*R3^-1*(R2^-1*R0^-1*R1^-1)^2*R0^-1*R3^-2*R1^-1*R3^-2*R2^-1*R3^-1*(R2^-1*R3^-1*R1^-1)^2*R2^-1*R1^-1*R0^-1	H_alpha({3,3,5})	[ 30, 3, 3 ]	true	true	1	[ 600, 1200, 120, 5 ]	false	false	false	false	true	PROVED-OBSTRUCTION-IN-PARENT	abstract polytope exists but the Wythoff realisation at w is not a faithful skeletal 4-polytope
P-W-{5,3,5/2}-1	{5,3,5/2}	W(T)	14400	0	[ 1, 0 ]	5	word R3^-1*R2^-1	H_alpha({5,3,5/2})	[ 12, 3, 5 ]	true	true	1	[ 120, 720, 300, 50 ]	false	true	true	true	true	PROVED-CONSTRUCTION	this is the canonical S3 = R3 R2 (alpha = 0)
P-W-{5,3,5/2}-2	{5,3,5/2}	W(T)	14400	1	[ 0, 1 ]	5	word R1^-1*R0^-1	H_alpha({5,3,5/2})	[ 12, 3, 5 ]	true	true	1	[ 120, 720, 300, 50 ]	false	true	true	true	true	PROVED-CONSTRUCTION	see comparison with the canonical candidates
